,02_15_2022,Vortag
Bad Oeynhausen,8182,7947
Espelkamp,6221,6068
Hille,1954,1887
Hüllhorst,2136,2071
Lübbecke,4907,4782
Minden,13900,13602
Petershagen,2820,2751
Porta Westfalica,5179,5008
Preußisch Oldendorf,2112,2066
Rahden,2396,2310
Stemwede,1540,1503
