,02_14_2022,Vortag
Bad Oeynhausen,7947,7706
Espelkamp,6068,5913
Hille,1887,1814
Hüllhorst,2071,2002
Lübbecke,4782,4644
Minden,13602,13263
Petershagen,2751,2644
Porta Westfalica,5008,4831
Preußisch Oldendorf,2066,2008
Rahden,2310,2231
Stemwede,1503,1443
