,08_29_2021,Vortag
Bad Oeynhausen,2332,2326
Espelkamp,1911,1904
Hille,551,550
Hüllhorst,771,761
Lübbecke,1586,1578
Minden,4604,4591
Petershagen,946,946
Porta Westfalica,1337,1333
Preußisch Oldendorf,706,705
Rahden,822,817
Stemwede,579,578
