,09_29_2021,Vortag
Bad Oeynhausen,2663,2660
Espelkamp,2376,2342
Hille,576,576
Hüllhorst,884,883
Lübbecke,1713,1712
Minden,4946,4935
Petershagen,1026,1025
Porta Westfalica,1523,1519
Preußisch Oldendorf,769,767
Rahden,888,887
Stemwede,613,611
