,11_05_2021,Vortag
Bad Oeynhausen,3008,3001
Espelkamp,3107,3079
Hille,635,629
Hüllhorst,991,987
Lübbecke,2057,2035
Minden,5394,5376
Petershagen,1105,1102
Porta Westfalica,1837,1829
Preußisch Oldendorf,886,874
Rahden,1035,1028
Stemwede,674,674
