,11_16_2021,Vortag
Bad Oeynhausen,3163,3120
Espelkamp,3280,3248
Hille,665,653
Hüllhorst,1046,1038
Lübbecke,2205,2177
Minden,5658,5575
Petershagen,1176,1147
Porta Westfalica,1972,1934
Preußisch Oldendorf,960,954
Rahden,1091,1083
Stemwede,711,708
