,11_22_2021,Vortag
Bad Oeynhausen,3276,3215
Espelkamp,3407,3345
Hille,692,677
Hüllhorst,1071,1061
Lübbecke,2331,2267
Minden,5877,5749
Petershagen,1222,1202
Porta Westfalica,2061,2018
Preußisch Oldendorf,1003,983
Rahden,1122,1104
Stemwede,744,731
