,09_09_2021,Vortag
Bad Oeynhausen,2475,2459
Espelkamp,2048,2037
Hille,562,560
Hüllhorst,827,825
Lübbecke,1643,1641
Minden,4783,4776
Petershagen,966,964
Porta Westfalica,1425,1418
Preußisch Oldendorf,732,731
Rahden,858,858
Stemwede,599,598
