,01_13_2022,Vortag
Bad Oeynhausen,4574,4528
Espelkamp,4270,4247
Hille,1033,1017
Hüllhorst,1379,1369
Lübbecke,2947,2922
Minden,8270,8185
Petershagen,1640,1625
Porta Westfalica,2839,2822
Preußisch Oldendorf,1257,1246
Rahden,1433,1425
Stemwede,907,900
