,11_11_2021,Vortag
Bad Oeynhausen,3088,3065
Espelkamp,3212,3187
Hille,645,642
Hüllhorst,1017,1009
Lübbecke,2152,2113
Minden,5524,5493
Petershagen,1138,1131
Porta Westfalica,1913,1896
Preußisch Oldendorf,931,918
Rahden,1065,1059
Stemwede,690,682
