,11_25_2021,Vortag
Bad Oeynhausen,3372,3336
Espelkamp,3491,3455
Hille,708,705
Hüllhorst,1104,1093
Lübbecke,2390,2366
Minden,6027,5979
Petershagen,1243,1239
Porta Westfalica,2126,2110
Preußisch Oldendorf,1029,1016
Rahden,1149,1141
Stemwede,758,751
