,09_07_2021,Vortag
Bad Oeynhausen,2449,2435
Espelkamp,2003,1999
Hille,559,556
Hüllhorst,820,820
Lübbecke,1636,1632
Minden,4762,4743
Petershagen,964,964
Porta Westfalica,1413,1404
Preußisch Oldendorf,729,728
Rahden,854,854
Stemwede,596,595
