,08_30_2021,Vortag
Bad Oeynhausen,2355,2332
Espelkamp,1933,1911
Hille,554,551
Hüllhorst,788,771
Lübbecke,1600,1586
Minden,4627,4604
Petershagen,950,946
Porta Westfalica,1357,1337
Preußisch Oldendorf,710,706
Rahden,834,822
Stemwede,588,579
