,01_03_2022,Vortag
Bad Oeynhausen,4202,4144
Espelkamp,4095,4062
Hille,935,905
Hüllhorst,1314,1290
Lübbecke,2782,2757
Minden,7584,7401
Petershagen,1555,1534
Porta Westfalica,2621,2584
Preußisch Oldendorf,1198,1189
Rahden,1369,1341
Stemwede,864,858
