,10_25_2021,Vortag
Bad Oeynhausen,2863,2837
Espelkamp,2867,2834
Hille,605,599
Hüllhorst,941,940
Lübbecke,1883,1859
Minden,5222,5194
Petershagen,1073,1070
Porta Westfalica,1663,1633
Preußisch Oldendorf,807,799
Rahden,969,966
Stemwede,652,650
