,08_25_2021,Vortag
Bad Oeynhausen,2317,2308
Espelkamp,1896,1889
Hille,549,546
Hüllhorst,760,751
Lübbecke,1570,1562
Minden,4567,4525
Petershagen,944,943
Porta Westfalica,1329,1319
Preußisch Oldendorf,705,702
Rahden,815,813
Stemwede,577,575
