,01_20_2022,Vortag
Bad Oeynhausen,4949,4884
Espelkamp,4438,4406
Hille,1118,1102
Hüllhorst,1450,1425
Lübbecke,3195,3155
Minden,8873,8748
Petershagen,1760,1723
Porta Westfalica,3049,3008
Preußisch Oldendorf,1320,1315
Rahden,1519,1507
Stemwede,951,945
