,12_25_2021,Vortag
Bad Oeynhausen,4067,4052
Espelkamp,4002,3990
Hille,868,860
Hüllhorst,1261,1259
Lübbecke,2736,2725
Minden,7158,7107
Petershagen,1500,1492
Porta Westfalica,2512,2501
Preußisch Oldendorf,1172,1168
Rahden,1314,1312
Stemwede,839,839
