,10_11_2021,Vortag
Bad Oeynhausen,2718,2708
Espelkamp,2698,2641
Hille,584,580
Hüllhorst,918,910
Lübbecke,1789,1772
Minden,5067,5036
Petershagen,1048,1045
Porta Westfalica,1565,1556
Preußisch Oldendorf,784,781
Rahden,939,932
Stemwede,630,623
