,11_30_2021,Vortag
Bad Oeynhausen,3548,3509
Espelkamp,3599,3579
Hille,748,742
Hüllhorst,1141,1136
Lübbecke,2471,2464
Minden,6234,6194
Petershagen,1283,1271
Porta Westfalica,2196,2189
Preußisch Oldendorf,1053,1050
Rahden,1162,1159
Stemwede,783,781
