,last7,last14,mix,Gemeinde
Bad Oeynhausen,79,162,79.0,Bad Oeynhausen
Espelkamp,116,230,116.0,Espelkamp
Hille,9,15,9.0,Hille
Hüllhorst,20,46,20.0,Hüllhorst
Lübbecke,22,52,22.0,Lübbecke
Minden,81,141,81.0,Minden
Petershagen,26,40,26.0,Petershagen
Porta Westfalica,26,67,26.0,Porta Westfalica
Preußisch Oldendorf,13,22,13.0,Preußisch Oldendorf
Rahden,7,15,7.0,Rahden
Stemwede,2,8,2.0,Stemwede
