,last7,last14,mix,Gemeinde
Bad Oeynhausen,4,11,4.0,Bad Oeynhausen
Espelkamp,5,14,5.0,Espelkamp
Hille,0,0,0.2,Hille
Hüllhorst,1,1,1.0,Hüllhorst
Lübbecke,1,7,1.0,Lübbecke
Minden,12,27,12.0,Minden
Petershagen,5,8,5.0,Petershagen
Porta Westfalica,4,10,4.0,Porta Westfalica
Preußisch Oldendorf,1,2,1.0,Preußisch Oldendorf
Rahden,0,0,0.2,Rahden
Stemwede,1,1,1.0,Stemwede
GESAMT,34,81,34.0,GESAMT
