,11_03_2021,Vortag
Bad Oeynhausen,2988,2961
Espelkamp,3061,3010
Hille,626,622
Hüllhorst,981,973
Lübbecke,1996,1966
Minden,5362,5320
Petershagen,1099,1096
Porta Westfalica,1817,1788
Preußisch Oldendorf,863,848
Rahden,1017,1001
Stemwede,669,666
