,11_02_2021,Vortag
Bad Oeynhausen,2961,2942
Espelkamp,3010,2966
Hille,622,620
Hüllhorst,973,967
Lübbecke,1966,1932
Minden,5320,5284
Petershagen,1096,1089
Porta Westfalica,1788,1752
Preußisch Oldendorf,848,836
Rahden,1001,994
Stemwede,666,666
