,09_25_2021,Vortag
Bad Oeynhausen,2637,2632
Espelkamp,2281,2269
Hille,574,574
Hüllhorst,870,869
Lübbecke,1701,1699
Minden,4920,4911
Petershagen,1013,1010
Porta Westfalica,1503,1497
Preußisch Oldendorf,760,759
Rahden,877,877
Stemwede,605,605
