,10_04_2021,Vortag
Bad Oeynhausen,2685,2677
Espelkamp,2497,2440
Hille,577,577
Hüllhorst,893,888
Lübbecke,1742,1730
Minden,4985,4964
Petershagen,1039,1028
Porta Westfalica,1537,1532
Preußisch Oldendorf,773,772
Rahden,912,895
Stemwede,618,616
