,01_15_2022,Vortag
Bad Oeynhausen,4632,4574
Espelkamp,4294,4270
Hille,1046,1033
Hüllhorst,1388,1379
Lübbecke,2981,2947
Minden,8359,8270
Petershagen,1648,1640
Porta Westfalica,2869,2839
Preußisch Oldendorf,1259,1257
Rahden,1443,1433
Stemwede,919,907
