,02_12_2022,Vortag
Bad Oeynhausen,7705,7526
Espelkamp,5913,5817
Hille,1814,1772
Hüllhorst,2002,1967
Lübbecke,4643,4529
Minden,13263,13010
Petershagen,2644,2576
Porta Westfalica,4831,4715
Preußisch Oldendorf,2008,1964
Rahden,2231,2183
Stemwede,1443,1416
