,10_13_2021,Vortag
Bad Oeynhausen,2731,2724
Espelkamp,2726,2717
Hille,586,585
Hüllhorst,920,919
Lübbecke,1798,1792
Minden,5084,5074
Petershagen,1052,1050
Porta Westfalica,1576,1573
Preußisch Oldendorf,788,787
Rahden,944,942
Stemwede,633,631
