,02_03_2022,Vortag
Bad Oeynhausen,6597,6349
Espelkamp,5208,5108
Hille,1501,1450
Hüllhorst,1736,1697
Lübbecke,3967,3881
Minden,11428,11137
Petershagen,2244,2183
Porta Westfalica,4029,3886
Preußisch Oldendorf,1660,1597
Rahden,1871,1811
Stemwede,1206,1171
