,08_09_2021,Vortag
Bad Oeynhausen,2226,2214
Espelkamp,1818,1810
Hille,524,520
Hüllhorst,727,723
Lübbecke,1520,1516
Minden,4298,4288
Petershagen,916,912
Porta Westfalica,1242,1237
Preußisch Oldendorf,677,674
Rahden,793,790
Stemwede,555,553
