,11_09_2021,Vortag
Bad Oeynhausen,3053,3024
Espelkamp,3147,3122
Hille,638,636
Hüllhorst,1001,997
Lübbecke,2090,2071
Minden,5464,5417
Petershagen,1127,1113
Porta Westfalica,1878,1850
Preußisch Oldendorf,909,901
Rahden,1047,1042
Stemwede,678,676
