,09_23_2021,Vortag
Bad Oeynhausen,2632,2622
Espelkamp,2269,2260
Hille,574,574
Hüllhorst,869,868
Lübbecke,1699,1691
Minden,4911,4909
Petershagen,1010,1008
Porta Westfalica,1497,1489
Preußisch Oldendorf,759,754
Rahden,877,872
Stemwede,605,605
