,10_19_2021,Vortag
Bad Oeynhausen,2783,2765
Espelkamp,2801,2790
Hille,592,589
Hüllhorst,935,933
Lübbecke,1839,1828
Minden,5145,5134
Petershagen,1062,1060
Porta Westfalica,1613,1606
Preußisch Oldendorf,797,795
Rahden,954,949
Stemwede,643,640
