,01_24_2022,Vortag
Bad Oeynhausen,5207,5042
Espelkamp,4579,4487
Hille,1188,1138
Hüllhorst,1503,1467
Lübbecke,3331,3249
Minden,9382,9061
Petershagen,1859,1797
Porta Westfalica,3202,3095
Preußisch Oldendorf,1380,1341
Rahden,1593,1544
Stemwede,978,958
