,12_22_2021,Vortag
Bad Oeynhausen,4052,4036
Espelkamp,3990,3974
Hille,860,857
Hüllhorst,1259,1258
Lübbecke,2725,2714
Minden,7107,7051
Petershagen,1492,1487
Porta Westfalica,2501,2490
Preußisch Oldendorf,1168,1166
Rahden,1312,1301
Stemwede,839,835
