,08_24_2021,Vortag
Bad Oeynhausen,2308,2303
Espelkamp,1889,1880
Hille,546,543
Hüllhorst,751,748
Lübbecke,1562,1561
Minden,4525,4499
Petershagen,943,943
Porta Westfalica,1319,1307
Preußisch Oldendorf,702,701
Rahden,813,812
Stemwede,575,575
