,10_07_2021,Vortag
Bad Oeynhausen,2698,2692
Espelkamp,2604,2556
Hille,580,577
Hüllhorst,909,903
Lübbecke,1764,1752
Minden,5031,5011
Petershagen,1045,1044
Porta Westfalica,1551,1544
Preußisch Oldendorf,778,774
Rahden,932,928
Stemwede,622,619
