,08_20_2021,Vortag
Bad Oeynhausen,2284,2280
Espelkamp,1862,1851
Hille,535,534
Hüllhorst,734,732
Lübbecke,1546,1542
Minden,4436,4416
Petershagen,940,938
Porta Westfalica,1283,1277
Preußisch Oldendorf,696,693
Rahden,806,801
Stemwede,568,566
