,01_07_2022,Vortag
Bad Oeynhausen,4346,4291
Espelkamp,4153,4138
Hille,971,965
Hüllhorst,1338,1334
Lübbecke,2846,2834
Minden,7869,7796
Petershagen,1580,1572
Porta Westfalica,2700,2686
Preußisch Oldendorf,1210,1208
Rahden,1393,1384
Stemwede,881,879
