,02_17_2022,Vortag
Bad Oeynhausen,8480,8321
Espelkamp,6383,6309
Hille,2045,2009
Hüllhorst,2206,2180
Lübbecke,5116,5035
Minden,14332,14164
Petershagen,2950,2899
Porta Westfalica,5389,5290
Preußisch Oldendorf,2223,2185
Rahden,2467,2423
Stemwede,1638,1595
