,01_11_2022,Vortag
Bad Oeynhausen,4489,4420
Espelkamp,4224,4205
Hille,1010,1000
Hüllhorst,1364,1360
Lübbecke,2901,2881
Minden,8079,7990
Petershagen,1613,1602
Porta Westfalica,2788,2748
Preußisch Oldendorf,1235,1233
Rahden,1412,1406
Stemwede,894,886
