,01_25_2022,Vortag
Bad Oeynhausen,5359,5207
Espelkamp,4662,4579
Hille,1227,1188
Hüllhorst,1540,1503
Lübbecke,3423,3331
Minden,9633,9382
Petershagen,1891,1859
Porta Westfalica,3306,3202
Preußisch Oldendorf,1417,1380
Rahden,1625,1593
Stemwede,1002,978
