,01_22_2022,Vortag
Bad Oeynhausen,5042,4949
Espelkamp,4487,4438
Hille,1138,1118
Hüllhorst,1467,1450
Lübbecke,3249,3195
Minden,9061,8873
Petershagen,1797,1760
Porta Westfalica,3095,3049
Preußisch Oldendorf,1341,1320
Rahden,1544,1519
Stemwede,958,951
