,08_10_2021,Vortag
Bad Oeynhausen,2226,2226
Espelkamp,1820,1818
Hille,525,524
Hüllhorst,728,727
Lübbecke,1521,1520
Minden,4306,4298
Petershagen,916,916
Porta Westfalica,1243,1242
Preußisch Oldendorf,677,677
Rahden,793,793
Stemwede,558,555
