,11_18_2021,Vortag
Bad Oeynhausen,3199,3178
Espelkamp,3330,3317
Hille,674,671
Hüllhorst,1048,1047
Lübbecke,2252,2229
Minden,5716,5694
Petershagen,1189,1185
Porta Westfalica,2000,1991
Preußisch Oldendorf,973,967
Rahden,1100,1095
Stemwede,726,716
