,01_28_2022,Vortag
Bad Oeynhausen,5787,5641
Espelkamp,4835,4767
Hille,1310,1282
Hüllhorst,1603,1576
Lübbecke,3600,3515
Minden,10202,9977
Petershagen,2015,1965
Porta Westfalica,3544,3437
Preußisch Oldendorf,1487,1465
Rahden,1700,1678
Stemwede,1068,1046
