,10_15_2021,Vortag
Bad Oeynhausen,2749,2741
Espelkamp,2752,2742
Hille,589,587
Hüllhorst,931,923
Lübbecke,1806,1804
Minden,5115,5105
Petershagen,1054,1053
Porta Westfalica,1589,1582
Preußisch Oldendorf,792,790
Rahden,946,946
Stemwede,637,636
