,10_31_2021,Vortag
Bad Oeynhausen,2942,2926
Espelkamp,2966,2944
Hille,620,619
Hüllhorst,967,962
Lübbecke,1932,1919
Minden,5284,5280
Petershagen,1089,1086
Porta Westfalica,1752,1734
Preußisch Oldendorf,836,832
Rahden,994,991
Stemwede,666,665
