,02_09_2022,Vortag
Bad Oeynhausen,7377,7217
Espelkamp,5727,5617
Hille,1722,1682
Hüllhorst,1937,1902
Lübbecke,4438,4332
Minden,12772,12488
Petershagen,2532,2476
Porta Westfalica,4606,4487
Preußisch Oldendorf,1916,1857
Rahden,2128,2071
Stemwede,1377,1335
