,11_04_2021,Vortag
Bad Oeynhausen,3001,2988
Espelkamp,3079,3061
Hille,629,626
Hüllhorst,987,981
Lübbecke,2035,1996
Minden,5376,5362
Petershagen,1102,1099
Porta Westfalica,1829,1817
Preußisch Oldendorf,874,863
Rahden,1028,1017
Stemwede,674,669
