,09_08_2021,Vortag
Bad Oeynhausen,2459,2449
Espelkamp,2037,2003
Hille,560,559
Hüllhorst,825,820
Lübbecke,1641,1636
Minden,4776,4762
Petershagen,964,964
Porta Westfalica,1418,1413
Preußisch Oldendorf,731,729
Rahden,858,854
Stemwede,598,596
