,12_01_2021,Vortag
Bad Oeynhausen,3597,3548
Espelkamp,3633,3599
Hille,752,748
Hüllhorst,1147,1141
Lübbecke,2490,2471
Minden,6293,6234
Petershagen,1297,1283
Porta Westfalica,2214,2196
Preußisch Oldendorf,1061,1053
Rahden,1170,1162
Stemwede,786,783
