,10_05_2021,Vortag
Bad Oeynhausen,2689,2685
Espelkamp,2511,2497
Hille,577,577
Hüllhorst,895,893
Lübbecke,1744,1742
Minden,5000,4985
Petershagen,1044,1039
Porta Westfalica,1539,1537
Preußisch Oldendorf,773,773
Rahden,916,912
Stemwede,619,618
