,08_04_2021,Vortag
Bad Oeynhausen,2206,2204
Espelkamp,1803,1798
Hille,519,515
Hüllhorst,720,719
Lübbecke,1514,1511
Minden,4286,4282
Petershagen,909,907
Porta Westfalica,1234,1232
Preußisch Oldendorf,671,671
Rahden,788,786
Stemwede,550,550
