,01_01_2022,Vortag
Bad Oeynhausen,4144,4126
Espelkamp,4062,4056
Hille,905,899
Hüllhorst,1290,1282
Lübbecke,2757,2754
Minden,7401,7352
Petershagen,1534,1523
Porta Westfalica,2584,2568
Preußisch Oldendorf,1189,1184
Rahden,1341,1333
Stemwede,858,855
