,09_21_2021,Vortag
Bad Oeynhausen,2611,2596
Espelkamp,2233,2209
Hille,574,573
Hüllhorst,866,861
Lübbecke,1688,1682
Minden,4903,4875
Petershagen,1004,1003
Porta Westfalica,1480,1470
Preußisch Oldendorf,751,751
Rahden,869,867
Stemwede,604,603
