,09_14_2021,Vortag
Bad Oeynhausen,2532,2517
Espelkamp,2117,2108
Hille,565,563
Hüllhorst,846,843
Lübbecke,1666,1663
Minden,4822,4811
Petershagen,978,977
Porta Westfalica,1454,1447
Preußisch Oldendorf,738,737
Rahden,862,863
Stemwede,602,602
