,09_06_2021,Vortag
Bad Oeynhausen,2435,2406
Espelkamp,1999,1956
Hille,556,555
Hüllhorst,820,815
Lübbecke,1632,1627
Minden,4743,4707
Petershagen,964,955
Porta Westfalica,1404,1389
Preußisch Oldendorf,728,724
Rahden,854,849
Stemwede,595,594
