,09_02_2021,Vortag
Bad Oeynhausen,2390,2379
Espelkamp,1953,1945
Hille,555,555
Hüllhorst,807,804
Lübbecke,1616,1611
Minden,4695,4670
Petershagen,952,952
Porta Westfalica,1386,1376
Preußisch Oldendorf,720,717
Rahden,849,841
Stemwede,591,591
