,11_20_2021,Vortag
Bad Oeynhausen,3215,3199
Espelkamp,3345,3330
Hille,677,674
Hüllhorst,1061,1048
Lübbecke,2267,2252
Minden,5749,5716
Petershagen,1202,1189
Porta Westfalica,2018,2000
Preußisch Oldendorf,983,973
Rahden,1104,1100
Stemwede,731,726
