,11_17_2021,Vortag
Bad Oeynhausen,3178,3163
Espelkamp,3317,3280
Hille,671,665
Hüllhorst,1047,1046
Lübbecke,2229,2205
Minden,5694,5658
Petershagen,1185,1176
Porta Westfalica,1991,1972
Preußisch Oldendorf,967,960
Rahden,1095,1091
Stemwede,716,711
