,12_20_2021,Vortag
Bad Oeynhausen,4026,4003
Espelkamp,3968,3931
Hille,859,852
Hüllhorst,1250,1242
Lübbecke,2707,2695
Minden,7008,6923
Petershagen,1486,1470
Porta Westfalica,2481,2440
Preußisch Oldendorf,1164,1154
Rahden,1300,1293
Stemwede,832,830
