,10_22_2021,Vortag
Bad Oeynhausen,2837,2825
Espelkamp,2834,2819
Hille,599,596
Hüllhorst,940,939
Lübbecke,1859,1855
Minden,5194,5183
Petershagen,1070,1063
Porta Westfalica,1633,1624
Preußisch Oldendorf,799,799
Rahden,966,963
Stemwede,650,648
